id;evento_id_catedra;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;column_asientos;precio_entrada
1;5759;dual saturate wolf;midwife;anenst what;2025-11-09T15:14:40;ugh and;vice oblong chap;20111;22606;4204.65
2;22333;majority remarkable shadowbox;inwardly;neglect connect;2025-11-09T12:26:53;hastily stuff fooey;till;26019;10496;30044.6
3;2356;syringe;ugh;repeatedly till vainly;2025-11-09T16:55:31;technologist self-assured consequently;of;13514;9245;20104.76
4;8993;premeditation brr;ugh with;besides version;2025-11-10T00:04:41;modulo;odd bah;6073;15551;827.33
5;31410;that memorise ha;continually;after final;2025-11-09T18:00:40;regal representation wrongly;schedule pace whether;1556;7692;24237.5
6;4155;whereas;corner angrily anenst;dandelion finally because;2025-11-09T17:43:49;hmph;tough ski intently;20676;27671;17458.54
7;19887;accentuate;owlishly;vanish the;2025-11-09T14:13:01;obvious splurge;knowledgeably admonish;20972;23366;6670.41
8;3998;abscond aha even;accomplished uncommon;fast among interestingly;2025-11-09T10:57:57;wilderness;criminal nicely inasmuch;28908;13296;24049.99
9;4518;cassava;alligator beneath;that;2025-11-09T01:56:37;flashy whoa anenst;aha;20953;5482;4353.1
10;24046;pleasure gah humble;forenenst helpfully;yippee;2025-11-09T09:30:01;dally against;circumnavigate;10014;6780;15759.33
